2CO 1:1.1 C Παῦλος Παῦλος N-NSM 3972 Παῦλος ! Παῦλος
2CO 1:1.2 . ἀπόστολος ἀπόστολος N-NSM 652 ἀπόστολος ! ἀπόστολος
2CO 1:1.3 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2CO 1:1.4 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2CO 1:1.5 . διὰ διὰ PREP 1223 διά ! διά
2CO 1:1.6 . θελήματος θελήματος N-GSN 2307 θέλημα ! θέλημα
2CO 1:1.7 . θεοῦ, θεοῦ, N-GSM 2316 θεός ! θεός
2CO 1:1.8 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:1.9 . Τιμόθεος Τιμόθεος N-NSM 5095 Τιμόθεος ! Τιμόθεος
2CO 1:1.10 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 1:1.11 . ἀδελφός, ἀδελφός, N-NSM 80 ἀδελφός ! ἀδελφός
2CO 1:1.12 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 1:1.13 . ἐκκλησίᾳ ἐκκλησίᾳ N-DSF 1577 ἐκκλησία ! ἐκκλησία
2CO 1:1.14 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 1:1.15 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
2CO 1:1.16 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 1:1.17 . οὔσῃ οὔσῃ V-PAP-DSF 1510 εἰμί ! εἰμί
2CO 1:1.18 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 1:1.19 . Κορίνθῳ, Κορίνθῳ, N-DSF 2882 Κόρινθος ! Κόρινθος
2CO 1:1.20 . σὺν σὺν PREP 4862 σύν ! σύν
2CO 1:1.21 . τοῖς τοῖς T-DPM 3588 ὁ ! ὁ
2CO 1:1.22 . ἁγίοις ἁγίοις A-DPM 40 ἅγιος ! ἅγιος
2CO 1:1.23 . πᾶσιν πᾶσιν A-DPM 3956 πᾶς ! πᾶς
2CO 1:1.24 . τοῖς τοῖς T-DPM 3588 ὁ ! ὁ
2CO 1:1.25 . οὖσιν οὖσιν V-PAP-DPM 1510 εἰμί ! εἰμί
2CO 1:1.26 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 1:1.27 . ὅλῃ ὅλῃ A-DSF 3650 ὅλος ! ὅλος
2CO 1:1.28 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 1:1.29 . Ἀχαΐᾳ· Ἀχαΐᾳ· N-DSF 882 Ἀχαΐα ! Ἀχαΐα
2CO 1:2.1 . χάρις χάρις N-NSF 5485 χάρις ! χάρις
2CO 1:2.2 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2CO 1:2.3 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:2.4 . εἰρήνη εἰρήνη N-NSF 1515 εἰρήνη ! εἰρήνη
2CO 1:2.5 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
2CO 1:2.6 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
2CO 1:2.7 . πατρὸς πατρὸς N-GSM 3962 πατήρ ! πατήρ
2CO 1:2.8 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 1:2.9 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:2.10 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2CO 1:2.11 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2CO 1:2.12 . Χριστοῦ. Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
2CO 1:3.1 P Εὐλογητὸς Εὐλογητὸς A-NSM 2128 εὐλογητός ! εὐλογητός
2CO 1:3.2 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 1:3.3 . θεὸς θεὸς N-NSM 2316 θεός ! θεός
2CO 1:3.4 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:3.5 . πατὴρ πατὴρ N-NSM 3962 πατήρ ! πατήρ
2CO 1:3.6 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 1:3.7 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2CO 1:3.8 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 1:3.9 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2CO 1:3.10 . Χριστοῦ, Χριστοῦ, N-GSM 5547 Χριστός ! Χριστός
2CO 1:3.11 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 1:3.12 . πατὴρ πατὴρ N-NSM 3962 πατήρ ! πατήρ
2CO 1:3.13 . τῶν τῶν T-GPM 3588 ὁ ! ὁ
2CO 1:3.14 . οἰκτιρμῶν οἰκτιρμῶν N-GPM 3628 οἰκτιρμός ! οἰκτιρμός
2CO 1:3.15 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:3.16 . θεὸς θεὸς N-NSM 2316 θεός ! θεός
2CO 1:3.17 . πάσης πάσης A-GSF 3956 πᾶς ! πᾶς
2CO 1:3.18 . παρακλήσεως, παρακλήσεως, N-GSF 3874 παράκλησις ! παράκλησις
2CO 1:4.1 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 1:4.2 . παρακαλῶν παρακαλῶν V-PAP-NSM 3870 παρακαλέω ! παρακαλέω
2CO 1:4.3 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2CO 1:4.4 . ἐπὶ ἐπὶ PREP 1909 ἐπί ! ἐπί
2CO 1:4.5 . πάσῃ πάσῃ A-DSF 3956 πᾶς ! πᾶς
2CO 1:4.6 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 1:4.7 . θλίψει θλίψει N-DSF 2347 θλῖψις ! θλῖψις
2CO 1:4.8 . ἡμῶν, ἡμῶν, P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 1:4.9 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 1:4.10 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 1:4.11 . δύνασθαι δύνασθαι V-PNN 1410 δύναμαι ! δύναμαι
2CO 1:4.12 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2CO 1:4.13 . παρακαλεῖν παρακαλεῖν V-PAN 3870 παρακαλέω ! παρακαλέω
2CO 1:4.14 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
2CO 1:4.15 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 1:4.16 . πάσῃ πάσῃ A-DSF 3956 πᾶς ! πᾶς
2CO 1:4.17 . θλίψει θλίψει N-DSF 2347 θλῖψις ! θλῖψις
2CO 1:4.18 . διὰ διὰ PREP 1223 διά ! διά
2CO 1:4.19 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 1:4.20 . παρακλήσεως παρακλήσεως N-GSF 3874 παράκλησις ! παράκλησις
2CO 1:4.21 . ἧς ἧς R-GSF 3739 ὅς ! ὅς
2CO 1:4.22 . παρακαλούμεθα παρακαλούμεθα V-PPI-1P 3870 παρακαλέω ! παρακαλέω
2CO 1:4.23 . αὐτοὶ αὐτοὶ P-NPM 846 αὐτός ! αὐτός
2CO 1:4.24 . ὑπὸ ὑπὸ PREP 5259 ὑπό ! ὑπό
2CO 1:4.25 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 1:4.26 . θεοῦ· θεοῦ· N-GSM 2316 θεός ! θεός
2CO 1:5.1 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 1:5.2 . καθὼς καθὼς ADV 2531 καθώς ! καθώς
2CO 1:5.3 . περισσεύει περισσεύει V-PAI-3S 4052 περισσεύω ! περισσεύω
2CO 1:5.4 . τὰ τὰ T-NPN 3588 ὁ ! ὁ
2CO 1:5.5 . παθήματα παθήματα N-NPN 3804 πάθημα ! πάθημα
2CO 1:5.6 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 1:5.7 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2CO 1:5.8 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 1:5.9 . ἡμᾶς, ἡμᾶς, P-1AP 2249 ἡμεῖς ! ἐγώ
2CO 1:5.10 . οὕτως οὕτως ADV 3779 οὕτω ! οὕτω
2CO 1:5.11 . διὰ διὰ PREP 1223 διά ! διά
2CO 1:5.12 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 1:5.13 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2CO 1:5.14 . περισσεύει περισσεύει V-PAI-3S 4052 περισσεύω ! περισσεύω
2CO 1:5.15 . καὶ καὶ CONJ 2532 καί ! καί
2CO 1:5.16 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
