2PE 1:1.1 C Συμεὼν Συμεὼν N-PRI 4826 Συμεών ! Συμεών
2PE 1:1.2 . Πέτρος Πέτρος N-NSM 4074 Πέτρος ! Πέτρος
2PE 1:1.3 . δοῦλος δοῦλος N-NSM 1401 δοῦλος ! δοῦλος (II)
2PE 1:1.4 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:1.5 . ἀπόστολος ἀπόστολος N-NSM 652 ἀπόστολος ! ἀπόστολος
2PE 1:1.6 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:1.7 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2PE 1:1.8 . τοῖς τοῖς T-DPM 3588 ὁ ! ὁ
2PE 1:1.9 . ἰσότιμον ἰσότιμον A-ASF 2472 ἰσότιμος ! ἰσότιμος
2PE 1:1.10 . ἡμῖν ἡμῖν P-1DP 2249 ἡμεῖς ! ἐγώ
2PE 1:1.11 . λαχοῦσιν λαχοῦσιν V-2AAP-DPM 2975 λαγχάνω ! λαγχάνω
2PE 1:1.12 . πίστιν πίστιν N-ASF 4102 πίστις ! πίστις
2PE 1:1.13 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:1.14 . δικαιοσύνῃ δικαιοσύνῃ N-DSF 1343 δικαιοσύνη ! δικαιοσύνη
2PE 1:1.15 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:1.16 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
2PE 1:1.17 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2PE 1:1.18 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:1.19 . σωτῆρος σωτῆρος N-GSM 4990 σωτήρ ! σωτήρ
2PE 1:1.20 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:1.21 . Χριστοῦ. Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
2PE 1:2.1 . χάρις χάρις N-NSF 5485 χάρις ! χάρις
2PE 1:2.2 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2PE 1:2.3 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:2.4 . εἰρήνη εἰρήνη N-NSF 1515 εἰρήνη ! εἰρήνη
2PE 1:2.5 . πληθυνθείη πληθυνθείη V-APO-3S 4129 πληθύνω ! πληθύνω
2PE 1:2.6 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:2.7 . ἐπιγνώσει ἐπιγνώσει N-DSF 1922 ἐπίγνωσις ! ἐπίγνωσις
2PE 1:2.8 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:2.9 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
2PE 1:2.10 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:2.11 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:2.12 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:2.13 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2PE 1:2.14 . ἡμῶν. ἡμῶν. P-1GP 2249 ἡμεῖς ! ἐγώ
2PE 1:3.1 P Ὡς Ὡς ADV 5613 ὡς ! ὡς
2PE 1:3.2 . τὰ τὰ T-APN 3588 ὁ ! ὁ
2PE 1:3.3 . πάντα πάντα A-APN 3956 πᾶς ! πᾶς
2PE 1:3.4 . ἡμῖν ἡμῖν P-1DP 2249 ἡμεῖς ! ἐγώ
2PE 1:3.5 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2PE 1:3.6 . θείας θείας A-GSF 2304 θεῖος ! θεῖος
2PE 1:3.7 . δυνάμεως δυνάμεως N-GSF 1411 δύναμις ! δύναμις
2PE 1:3.8 . αὐτοῦ αὐτοῦ P-GSM 846 αὐτός ! αὐτός
2PE 1:3.9 . τὰ τὰ T-APN 3588 ὁ ! ὁ
2PE 1:3.10 . πρὸς πρὸς PREP 4314 πρός ! πρός
2PE 1:3.11 . ζωὴν ζωὴν N-ASF 2222 ζωή ! ζωή
2PE 1:3.12 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:3.13 . εὐσέβειαν εὐσέβειαν N-ASF 2150 εὐσέβεια ! εὐσέβεια
2PE 1:3.14 . δεδωρημένης δεδωρημένης V-RPP-GSF 1433 δωρέομαι ! δωρέομαι
2PE 1:3.15 . διὰ διὰ PREP 1223 διά ! διά
2PE 1:3.16 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2PE 1:3.17 . ἐπιγνώσεως ἐπιγνώσεως N-GSF 1922 ἐπίγνωσις ! ἐπίγνωσις
2PE 1:3.18 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:3.19 . καλέσαντος καλέσαντος V-AAP-GSM 2564 καλέω ! καλέω
2PE 1:3.20 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2PE 1:3.21 . ἰδίᾳ ἰδίᾳ A-DSF 2398 ἴδιος ! ἴδιος
2PE 1:3.22 . δόξῃ δόξῃ N-DSF 1391 δόξα ! δόξα
2PE 1:3.23 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:3.24 . ἀρετῇ, ἀρετῇ, N-DSF 703 ἀρέτη ! ἀρετή
2PE 1:4.1 . δι’ δι’ PREP 1223 διά ! διά
2PE 1:4.2 . ὧν ὧν R-GPF 3739 ὅς ! ὅς
2PE 1:4.3 . τὰ τὰ T-NPN 3588 ὁ ! ὁ
2PE 1:4.4 . τίμια τίμια A-NPN 5093 τίμιος ! τίμιος
2PE 1:4.5 . ἡμῖν ἡμῖν P-1DP 2249 ἡμεῖς ! ἐγώ
2PE 1:4.6 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:4.7 . μέγιστα μέγιστα A-NPN-S 3173 μέγας ! μέγας
2PE 1:4.8 . ἐπαγγέλματα ἐπαγγέλματα N-NPN 1862 ἐπάγγελμα ! ἐπάγγελμα
