2TI 1:1.1 C Παῦλος Παῦλος N-NSM 3972 Παῦλος ! Παῦλος
2TI 1:1.2 . ἀπόστολος ἀπόστολος N-NSM 652 ἀπόστολος ! ἀπόστολος
2TI 1:1.3 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2TI 1:1.4 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TI 1:1.5 . διὰ διὰ PREP 1223 διά ! διά
2TI 1:1.6 . θελήματος θελήματος N-GSN 2307 θέλημα ! θέλημα
2TI 1:1.7 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
2TI 1:1.8 . κατ’ κατ’ PREP 2596 κατά ! κατά
2TI 1:1.9 . ἐπαγγελίαν ἐπαγγελίαν N-ASF 1860 ἐπαγγελία ! ἐπαγγελία
2TI 1:1.10 . ζωῆς ζωῆς N-GSF 2222 ζωή ! ζωή
2TI 1:1.11 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2TI 1:1.12 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TI 1:1.13 . Χριστῷ Χριστῷ N-DSM 5547 Χριστός ! Χριστός
2TI 1:1.14 . Ἰησοῦ Ἰησοῦ N-DSM 2424 Ἰησοῦς ! Ἰησοῦς
2TI 1:2.1 . Τιμοθέῳ Τιμοθέῳ N-DSM 5095 Τιμόθεος ! Τιμόθεος
2TI 1:2.2 . ἀγαπητῷ ἀγαπητῷ A-DSN 27 ἀγαπητός ! ἀγαπητός
2TI 1:2.3 . τέκνῳ· τέκνῳ· N-DSN 5043 τέκνον ! τέκνον
2TI 1:2.4 . χάρις, χάρις, N-NSF 5485 χάρις ! χάρις
2TI 1:2.5 . ἔλεος, ἔλεος, N-NSN 1656 ἔλεος ! ἔλεος
2TI 1:2.6 . εἰρήνη εἰρήνη N-NSF 1515 εἰρήνη ! εἰρήνη
2TI 1:2.7 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
2TI 1:2.8 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
2TI 1:2.9 . πατρὸς πατρὸς N-GSM 3962 πατήρ ! πατήρ
2TI 1:2.10 . καὶ καὶ CONJ 2532 καί ! καί
2TI 1:2.11 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2TI 1:2.12 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TI 1:2.13 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2TI 1:2.14 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2TI 1:2.15 . ἡμῶν. ἡμῶν. P-1GP 2249 ἡμεῖς ! ἐγώ
2TI 1:3.1 P Χάριν Χάριν N-ASF 5485 χάρις ! χάρις
2TI 1:3.2 . ἔχω ἔχω V-PAI-1S 2192 ἔχω ! ἔχω
2TI 1:3.3 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
2TI 1:3.4 . θεῷ, θεῷ, N-DSM 2316 θεός ! θεός
2TI 1:3.5 . ᾧ ᾧ R-DSM 3739 ὅς ! ὅς
2TI 1:3.6 . λατρεύω λατρεύω V-PAI-1S 3000 λατρεύω ! λατρεύω
2TI 1:3.7 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
2TI 1:3.8 . προγόνων προγόνων N-GPM 4269 πρόγονος ! πρόγονος
2TI 1:3.9 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TI 1:3.10 . καθαρᾷ καθαρᾷ A-DSF 2513 καθαρός ! καθαρός
2TI 1:3.11 . συνειδήσει, συνειδήσει, N-DSF 4893 συνείδησις ! συνείδησις
2TI 1:3.12 . ὡς ὡς ADV 5613 ὡς ! ὡς
2TI 1:3.13 . ἀδιάλειπτον ἀδιάλειπτον A-ASF 88 ἀδιάλειπτος ! ἀδιάλειπτος
2TI 1:3.14 . ἔχω ἔχω V-PAI-1S 2192 ἔχω ! ἔχω
2TI 1:3.15 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2TI 1:3.16 . περὶ περὶ PREP 4012 περί ! περί
2TI 1:3.17 . σοῦ σοῦ P-2GS 4771 σύ ! σύ
2TI 1:3.18 . μνείαν μνείαν N-ASF 3417 μνεία ! μνεία
2TI 1:3.19 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TI 1:3.20 . ταῖς ταῖς T-DPF 3588 ὁ ! ὁ
2TI 1:3.21 . δεήσεσίν δεήσεσίν N-DPF 1162 δέησις ! δέησις
2TI 1:3.22 . μου μου P-1GS 1473 ἐγώ ! ἐγώ
2TI 1:3.23 . νυκτὸς νυκτὸς N-GSF 3571 νύξ ! νύξ
2TI 1:3.24 . καὶ καὶ CONJ 2532 καί ! καί
2TI 1:3.25 . ἡμέρας, ἡμέρας, N-GSF 2250 ἡμέρα ! ἡμέρα
2TI 1:4.1 . ἐπιποθῶν ἐπιποθῶν V-PAP-NSM 1971 ἐπιποθέω ! ἐπιποθέω
2TI 1:4.2 . σε σε P-2AS 4771 σύ ! σύ
2TI 1:4.3 . ἰδεῖν, ἰδεῖν, V-2AAN 3708 ὁράω ! ὁράω
2TI 1:4.4 . μεμνημένος μεμνημένος V-RPP-NSM 3403 μιμνήσκω ! μιμνῄσκω
2TI 1:4.5 . σου σου P-2GS 4771 σύ ! σύ
2TI 1:4.6 . τῶν τῶν T-GPN 3588 ὁ ! ὁ
2TI 1:4.7 . δακρύων, δακρύων, N-GPN 1144 δάκρυ ! δάκρυον
2TI 1:4.8 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
2TI 1:4.9 . χαρᾶς χαρᾶς N-GSF 5479 χαρά ! χαρά
2TI 1:4.10 . πληρωθῶ, πληρωθῶ, V-APS-1S 4137 πληρόω ! πληρόω
2TI 1:5.1 . ὑπόμνησιν ὑπόμνησιν N-ASF 5280 ὑπόμνησις ! ὑπόμνησις
2TI 1:5.2 . λαβὼν λαβὼν V-2AAP-NSM 2983 λαμβάνω ! λαμβάνω
2TI 1:5.3 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2TI 1:5.4 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TI 1:5.5 . σοὶ σοὶ P-2DS 4771 σύ ! σύ
2TI 1:5.6 . ἀνυποκρίτου ἀνυποκρίτου A-GSF 505 ἀνυπόκριτος ! ἀνυπόκριτος
2TI 1:5.7 . πίστεως, πίστεως, N-GSF 4102 πίστις ! πίστις
2TI 1:5.8 . ἥτις ἥτις R-NSF 3748 ὅστις ! ὅστις
2TI 1:5.9 . ἐνῴκησεν ἐνῴκησεν V-AAI-3S 1774 ἐνοικέω ! ἐνοικέω
2TI 1:5.10 . πρῶτον πρῶτον ADV-S 4412 πρῶτον ! πρῶτος
2TI 1:5.11 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TI 1:5.12 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2TI 1:5.13 . μάμμῃ μάμμῃ N-DSF 3125 μάμμη ! μάμμη
2TI 1:5.14 . σου σου P-2GS 4771 σύ ! σύ
2TI 1:5.15 . Λωΐδι Λωΐδι N-DSF 3090 Λωΐς ! Λωΐς
2TI 1:5.16 . καὶ καὶ CONJ 2532 καί ! καί
2TI 1:5.17 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2TI 1:5.18 . μητρί μητρί N-DSF 3384 μήτηρ ! μήτηρ
2TI 1:5.19 . σου σου P-2GS 4771 σύ ! σύ
2TI 1:5.20 . Εὐνίκῃ, Εὐνίκῃ, N-DSF 2131 Εὐνίκη ! Εὐνίκη
2TI 1:5.21 . πέπεισμαι πέπεισμαι V-RPI-1S 3982 πείθω ! πείθω
2TI 1:5.22 . δὲ δὲ CONJ 1161 δέ ! δέ
2TI 1:5.23 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2TI 1:5.24 . καὶ καὶ CONJ 2532 καί ! καί
2TI 1:5.25 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TI 1:5.26 . σοί. σοί. P-2DS 4771 σύ ! σύ
2TI 1:6.1 . Δι’ Δι’ PREP 1223 διά ! διά
2TI 1:6.2 . ἣν ἣν R-ASF 3739 ὅς ! ὅς
2TI 1:6.3 . αἰτίαν αἰτίαν N-ASF 156 αἰτία ! αἰτία
2TI 1:6.4 . ἀναμιμνῄσκω ἀναμιμνῄσκω V-PAI-1S 363 ἀναμιμνήσκω ! ἀναμιμνῄσκω
2TI 1:6.5 . σε σε P-2AS 4771 σύ ! σύ
2TI 1:6.6 . ἀναζωπυρεῖν ἀναζωπυρεῖν V-PAN 329 ἀναζωπυρέω ! ἀναζωπυρέω
2TI 1:6.7 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2TI 1:6.8 . χάρισμα χάρισμα N-ASN 5486 χάρισμα ! χάρισμα
2TI 1:6.9 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2TI 1:6.10 . θεοῦ, θεοῦ, N-GSM 2316 θεός ! θεός
2TI 1:6.11 . ὅ ὅ R-NSN 3739 ὅς ! ὅς
2TI 1:6.12 . ἐστιν ἐστιν V-PAI-3S 1510 εἰμί ! εἰμί
2TI 1:6.13 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TI 1:6.14 . σοὶ σοὶ P-2DS 4771 σύ ! σύ
2TI 1:6.15 . διὰ διὰ PREP 1223 διά ! διά
2TI 1:6.16 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2TI 1:6.17 . ἐπιθέσεως ἐπιθέσεως N-GSF 1936 ἐπίθεσις ! ἐπίθεσις
2TI 1:6.18 . τῶν τῶν T-GPF 3588 ὁ ! ὁ
2TI 1:6.19 . χειρῶν χειρῶν N-GPF 5495 χείρ ! χείρ
2TI 1:6.20 . μου· μου· P-1GS 1473 ἐγώ ! ἐγώ
2TI 1:7.1 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2TI 1:7.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2TI 1:7.3 . ἔδωκεν ἔδωκεν V-AAI-3S 1325 δίδωμι ! δίδωμι
2TI 1:7.4 . ἡμῖν ἡμῖν P-1DP 2249 ἡμεῖς ! ἐγώ
2TI 1:7.5 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2TI 1:7.6 . θεὸς θεὸς N-NSM 2316 θεός ! θεός
2TI 1:7.7 . πνεῦμα πνεῦμα N-ASN 4151 πνεῦμα ! πνεῦμα
2TI 1:7.8 . δειλίας, δειλίας, N-GSF 1167 δειλία ! δειλία
2TI 1:7.9 . ἀλλὰ ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
2TI 1:7.10 . δυνάμεως δυνάμεως N-GSF 1411 δύναμις ! δύναμις
2TI 1:7.11 . καὶ καὶ CONJ 2532 καί ! καί
2TI 1:7.12 . ἀγάπης ἀγάπης N-GSF 26 ἀγάπη ! ἀγάπη
2TI 1:7.13 . καὶ καὶ CONJ 2532 καί ! καί
2TI 1:7.14 . σωφρονισμοῦ. σωφρονισμοῦ. N-GSM 4995 σωφρονισμός ! σωφρονισμός
2TI 1:8.1 . μὴ μὴ PRT-N 3361 μή ! μή
2TI 1:8.2 . οὖν οὖν CONJ 3767 οὖν ! οὖν
2TI 1:8.3 . ἐπαισχυνθῇς ἐπαισχυνθῇς V-AOS-2S 1870 ἐπαισχύνομαι ! ἐπαισχύνομαι
2TI 1:8.4 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2TI 1:8.5 . μαρτύριον μαρτύριον N-ASN 3142 μαρτύριον ! μαρτύριον
2TI 1:8.6 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2TI 1:8.7 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2TI 1:8.8 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2TI 1:8.9 . μηδὲ μηδὲ CONJ-N 3366 μηδέ ! μηδέ
2TI 1:8.10 . ἐμὲ ἐμὲ P-1AS 1473 ἐγώ ! ἐγώ
2TI 1:8.11 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
2TI 1:8.12 . δέσμιον δέσμιον N-ASM 1198 δέσμιος ! δέσμιος
2TI 1:8.13 . αὐτοῦ, αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
2TI 1:8.14 . ἀλλὰ ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
2TI 1:8.15 . συνκακοπάθησον συνκακοπάθησον V-AAM-2S 4777 συγκακοπαθέω ! συγκακοπαθέω
2TI 1:8.16 . τῷ τῷ T-DSN 3588 ὁ ! ὁ
2TI 1:8.17 . εὐαγγελίῳ εὐαγγελίῳ N-DSN 2098 εὐαγγέλιον ! εὐαγγέλιον
2TI 1:8.18 . κατὰ κατὰ PREP 2596 κατά ! κατά
2TI 1:8.19 . δύναμιν δύναμιν N-ASF 1411 δύναμις ! δύναμις
2TI 1:8.20 . θεοῦ, θεοῦ, N-GSM 2316 θεός ! θεός
2TI 1:9.1 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2TI 1:9.2 . σώσαντος σώσαντος V-AAP-GSM 4982 σώζω ! σῴζω
2TI 1:9.3 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2TI 1:9.4 . καὶ καὶ CONJ 2532 καί ! καί
2TI 1:9.5 . καλέσαντος καλέσαντος V-AAP-GSM 2564 καλέω ! καλέω
2TI 1:9.6 . κλήσει κλήσει N-DSF 2821 κλῆσις ! κλῆσις
2TI 1:9.7 . ἁγίᾳ, ἁγίᾳ, A-DSF 40 ἅγιος ! ἅγιος
2TI 1:9.8 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2TI 1:9.9 . κατὰ κατὰ PREP 2596 κατά ! κατά
2TI 1:9.10 . τὰ τὰ T-APN 3588 ὁ ! ὁ
2TI 1:9.11 . ἔργα ἔργα N-APN 2041 ἔργον ! ἔργον
2TI 1:9.12 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2TI 1:9.13 . ἀλλὰ ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
2TI 1:9.14 . κατὰ κατὰ PREP 2596 κατά ! κατά
2TI 1:9.15 . ἰδίαν ἰδίαν A-ASF 2398 ἴδιος ! ἴδιος
2TI 1:9.16 . πρόθεσιν πρόθεσιν N-ASF 4286 πρόθεσις ! πρόθεσις
2TI 1:9.17 . καὶ καὶ CONJ 2532 καί ! καί
2TI 1:9.18 . χάριν, χάριν, N-ASF 5485 χάρις ! χάρις
2TI 1:9.19 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2TI 1:9.20 . δοθεῖσαν δοθεῖσαν V-APP-ASF 1325 δίδωμι ! δίδωμι
2TI 1:9.21 . ἡμῖν ἡμῖν P-1DP 2249 ἡμεῖς ! ἐγώ
2TI 1:9.22 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TI 1:9.23 . Χριστῷ Χριστῷ N-DSM 5547 Χριστός ! Χριστός
2TI 1:9.24 . Ἰησοῦ Ἰησοῦ N-DSM 2424 Ἰησοῦς ! Ἰησοῦς
