MT 1:1.1 C Βίβλος Βίβλος N-NSF 976 βίβλος ! βίβλος
MT 1:1.2 . γενέσεως γενέσεως N-GSF 1078 γένεσις ! γένεσις
MT 1:1.3 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
MT 1:1.4 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
MT 1:1.5 . υἱοῦ υἱοῦ N-GSM 5207 υἱός ! υἱός
MT 1:1.6 . Δαυεὶδ Δαυεὶδ N-PRI 1138 Δαβίδ ! Δαυίδ
MT 1:1.7 . υἱοῦ υἱοῦ N-GSM 5207 υἱός ! υἱός
MT 1:1.8 . Ἀβραάμ. Ἀβραάμ. N-PRI 11 Ἀβραάμ ! Ἀβραάμ
MT 1:2.1 . Ἀβραὰμ Ἀβραὰμ N-PRI 11 Ἀβραάμ ! Ἀβραάμ
MT 1:2.2 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:2.3 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:2.4 . Ἰσαάκ, Ἰσαάκ, N-PRI 2464 Ἰσαάκ ! Ἰσαάκ
MT 1:2.5 . Ἰσαὰκ Ἰσαὰκ N-PRI 2464 Ἰσαάκ ! Ἰσαάκ
MT 1:2.6 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:2.7 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:2.8 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:2.9 . Ἰακώβ, Ἰακώβ, N-PRI 2384 Ἰακώβ ! Ἰακώβ
MT 1:2.10 . Ἰακὼβ Ἰακὼβ N-PRI 2384 Ἰακώβ ! Ἰακώβ
MT 1:2.11 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:2.12 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:2.13 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:2.14 . Ἰούδαν Ἰούδαν N-ASM 2455 Ἰούδας ! Ἰούδας
MT 1:2.15 . καὶ καὶ CONJ 2532 καί ! καί
MT 1:2.16 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
MT 1:2.17 . ἀδελφοὺς ἀδελφοὺς N-APM 80 ἀδελφός ! ἀδελφός
MT 1:2.18 . αὐτοῦ, αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
MT 1:3.1 . Ἰούδας Ἰούδας N-NSM 2455 Ἰούδας ! Ἰούδας
MT 1:3.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:3.3 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:3.4 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:3.5 . Φάρες Φάρες N-PRI 5329 Φάρες ! Φάρες
MT 1:3.6 . καὶ καὶ CONJ 2532 καί ! καί
MT 1:3.7 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:3.8 . Ζάρα Ζάρα N-PRI 2196 Ζαρά ! Ζάρα
MT 1:3.9 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
MT 1:3.10 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
MT 1:3.11 . Θαμάρ, Θαμάρ, N-PRI 2283 Θάμαρ ! Θαμάρ
MT 1:3.12 . Φάρες Φάρες N-PRI 5329 Φάρες ! Φάρες
MT 1:3.13 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:3.14 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:3.15 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:3.16 . Ἑσρώμ, Ἑσρώμ, N-PRI 2074 Ἐσρώμ ! Ἑσρώμ
MT 1:3.17 . Ἑσρὼμ Ἑσρὼμ N-PRI 2074 Ἐσρώμ ! Ἑσρώμ
MT 1:3.18 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:3.19 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:3.20 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:3.21 . Ἀράμ, Ἀράμ, N-PRI 689 Ἀράμ ! Ἀράμ
MT 1:4.1 . Ἀρὰμ Ἀρὰμ N-PRI 689 Ἀράμ ! Ἀράμ
MT 1:4.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:4.3 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:4.4 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:4.5 . Ἀμιναδάβ, Ἀμιναδάβ, N-PRI 284 Ἀμιναδάβ ! Ἀμιναδάβ
MT 1:4.6 . Ἀμιναδὰβ Ἀμιναδὰβ N-PRI 284 Ἀμιναδάβ ! Ἀμιναδάβ
MT 1:4.7 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:4.8 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:4.9 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:4.10 . Ναασσών, Ναασσών, N-PRI 3476 Ναασσών ! Ναασσών
MT 1:4.11 . Ναασσὼν Ναασσὼν N-PRI 3476 Ναασσών ! Ναασσών
MT 1:4.12 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:4.13 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:4.14 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:4.15 . Σαλμών, Σαλμών, N-PRI 4533 Σαλμών ! Σαλμών
MT 1:5.1 . Σαλμὼν Σαλμὼν N-PRI 4533 Σαλμών ! Σαλμών
MT 1:5.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:5.3 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:5.4 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:5.5 . Βόες Βόες N-PRI 1003 Βοόζ ! Βόες
MT 1:5.6 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
MT 1:5.7 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
MT 1:5.8 . Ῥαχάβ, Ῥαχάβ, N-PRI 4477 Ῥαχάβ ! Ῥαχάβ
MT 1:5.9 . Βόες Βόες N-PRI 1003 Βοόζ ! Βόες
MT 1:5.10 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:5.11 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:5.12 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:5.13 . Ἰωβὴδ Ἰωβὴδ N-PRI 5601 Ὠβήδ ! Ἰωβήδ
MT 1:5.14 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
MT 1:5.15 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
MT 1:5.16 . Ῥούθ, Ῥούθ, N-PRI 4503 Ῥούθ ! Ῥούθ
MT 1:5.17 . Ἰωβὴδ Ἰωβὴδ N-PRI 5601 Ὠβήδ ! Ἰωβήδ
MT 1:5.18 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:5.19 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:5.20 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:5.21 . Ἰεσσαί, Ἰεσσαί, N-PRI 2421 Ἰεσσαί ! Ἰεσσαί
MT 1:6.1 . Ἰεσσαὶ Ἰεσσαὶ N-PRI 2421 Ἰεσσαί ! Ἰεσσαί
MT 1:6.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:6.3 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:6.4 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:6.5 . Δαυεὶδ Δαυεὶδ N-PRI 1138 Δαβίδ ! Δαυίδ
MT 1:6.6 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:6.7 . βασιλέα. βασιλέα. N-ASM 935 βασιλεύς ! βασιλεύς
MT 1:6.8 . Δαυεὶδ Δαυεὶδ N-PRI 1138 Δαβίδ ! Δαυίδ
MT 1:6.9 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:6.10 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:6.11 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:6.12 . Σολομῶνα Σολομῶνα N-ASM 4672 Σολομών ! Σολομών
