1TI 1:1.1 C Παῦλος Παῦλος N-NSM 3972 Παῦλος ! Παῦλος
1TI 1:1.2 . ἀπόστολος ἀπόστολος N-NSM 652 ἀπόστολος ! ἀπόστολος
1TI 1:1.3 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
1TI 1:1.4 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
1TI 1:1.5 . κατ’ κατ’ PREP 2596 κατά ! κατά
1TI 1:1.6 . ἐπιταγὴν ἐπιταγὴν N-ASF 2003 ἐπιταγή ! ἐπιταγή
1TI 1:1.7 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
1TI 1:1.8 . σωτῆρος σωτῆρος N-GSM 4990 σωτήρ ! σωτήρ
1TI 1:1.9 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
1TI 1:1.10 . καὶ καὶ CONJ 2532 καί ! καί
1TI 1:1.11 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
1TI 1:1.12 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
1TI 1:1.13 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
1TI 1:1.14 . ἐλπίδος ἐλπίδος N-GSF 1680 ἐλπίς ! ἐλπίς
1TI 1:1.15 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
1TI 1:2.1 . Τιμοθέῳ Τιμοθέῳ N-DSM 5095 Τιμόθεος ! Τιμόθεος
1TI 1:2.2 . γνησίῳ γνησίῳ A-DSN 1103 γνήσιος ! γνήσιος
1TI 1:2.3 . τέκνῳ τέκνῳ N-DSN 5043 τέκνον ! τέκνον
1TI 1:2.4 . ἐν ἐν PREP 1722 ἐν ! ἐν
1TI 1:2.5 . πίστει· πίστει· N-DSF 4102 πίστις ! πίστις
1TI 1:2.6 . χάρις, χάρις, N-NSF 5485 χάρις ! χάρις
1TI 1:2.7 . ἔλεος, ἔλεος, N-NSN 1656 ἔλεος ! ἔλεος
1TI 1:2.8 . εἰρήνη εἰρήνη N-NSF 1515 εἰρήνη ! εἰρήνη
1TI 1:2.9 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
1TI 1:2.10 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
1TI 1:2.11 . πατρὸς πατρὸς N-GSM 3962 πατήρ ! πατήρ
1TI 1:2.12 . καὶ καὶ CONJ 2532 καί ! καί
1TI 1:2.13 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
1TI 1:2.14 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
1TI 1:2.15 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
1TI 1:2.16 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
1TI 1:2.17 . ἡμῶν. ἡμῶν. P-1GP 2249 ἡμεῖς ! ἐγώ
1TI 1:3.1 P Καθὼς Καθὼς ADV 2531 καθώς ! καθώς
1TI 1:3.2 . παρεκάλεσά παρεκάλεσά V-AAI-1S 3870 παρακαλέω ! παρακαλέω
1TI 1:3.3 . σε σε P-2AS 4771 σύ ! σύ
